Student_ID,First_Name,Last_Name,Attendance ,Assignments_Avg,Participation_Score
S1087,Ali,Johnson,95.73,95.01,0.57
S1088,Maria,Jones,,73.48,3.77
S1089,Sara,Brown,,61.99,3.62
S1090,Liam,Johnson,59.69,97.26,6.74
S1091,Maria,Williams,75.11,86.75,6.32
S1092,Sara,Davis,71.49,82.01,9.69
S1093,Emma,Davis,86.45,87.27,8.58
S1094,Emma,Williams,,,4.97
S1095,Emma,Davis,79.72,53.38,5
S1096,Sara,Jones,94.19,57.66,6.74
S1097,Maria,Jones,95.53,57.37,1.14
S1098,Emma,Smith,97.94,71.03,10
S1099,Ahmed,Smith,88.66,57.87,5.19
S1100,Omar,Smith,95.3,92.73,9.1
S1101,Sara,Davis,61.73,78.9,9.67
S1102,Sara,Jones,59.88,68.41,5.82
S1103,Maria,Jones,50.32,53.48,1.03
S1104,Sara,Jones,85.34,79.55,5.73
S1105,Sara,Williams,96.87,55.83,5.98
S1106,Emma,Jones,59.35,87.16,7.89
S1107,Maria,Williams,81.85,90.14,0.48
S1108,Emma,Smith,87.32,77.2,4.66
S1109,Omar,Smith,96.38,57.48,9.23
S1110,Liam,Davis,82.34,89.34,9.91
S1111,Omar,Smith,98.51,65.39,1.91
S1112,Liam,Davis,67.23,61.13,8.71
S1113,Emma,Johnson,67.5,73.53,1.46
S1114,Omar,Johnson,77.15,96.13,8.41
S1115,Maria,Brown,69.18,64.87,2.77
S1116,Ali,Davis,50.07,95.28,9.6
S1117,Emma,Brown,,52.68,6.95
S1118,Liam,Brown,87.59,54.18,3.99
S1119,Ahmed,Johnson,87.35,84.93,2.81
S1120,Liam,Davis,67.25,59.53,2.35
S1121,Ahmed,Johnson,76.11,65.83,6.81
S1122,Sara,Brown,68,56.82,8.96
S1123,Omar,Davis,50.8,66.61,7.55
S1124,Ahmed,Brown,78.12,64.02,8.35
S1125,Liam,Jones,56.19,86.82,7.81
S1126,Sara,Davis,54,85.1,9.79
S1127,Ali,Davis,87.77,97.75,7.58
S1128,Maria,Brown,50.48,86.22,2.1
S1129,Maria,Jones,97.95,84.74,7.92
S1130,Maria,Williams,75.76,84.71,3.22
S1131,Ahmed,Johnson,99.15,94.15,9.96
S1132,Ali,Brown,52.9,64.81,3.77
S1133,Ahmed,Davis,79.18,,2.93
S1134,Omar,Johnson,67.47,87.06,2.39
S1135,Ahmed,Johnson,92.17,61.44,6.59
S1136,Ali,Johnson,,95.6,1.09
S1137,Ali,Williams,63.02,76.74,9.54
S1138,Omar,Smith,92.88,,2.94
S1139,Ali,Brown,68.73,88.8,2.95
S1140,Liam,Smith,50.84,65.62,0.46
S1141,Ali,Smith,69.51,98.16,2.46
S1142,Maria,Smith,82.73,,4.19
S1143,Liam,Johnson,62.72,83.34,3.7
S1144,Liam,Jones,71.6,55.68,2.73
S1145,Omar,Johnson,52.84,63.16,0.41
S1146,John,Johnson,79.4,75.77,3.01
S1147,John,Davis,87.81,92.57,7.78
S1148,Ali,Davis,70.67,59.24,4.39
S1149,Liam,Smith,71.01,55.22,2.91
S1150,John,Johnson,54.41,53.72,3.05
S1151,John,Smith,60.1,75.35,5.54
S1152,Ali,Davis,57.73,94.24,3.02
S1153,John,Jones,74.08,52.12,6.31
S1154,Ahmed,Brown,76.46,60.62,9.89
S1155,Sara,Smith,,84.66,0.41
S1156,Omar,Jones,53.66,91.29,1.69
S1157,Sara,Brown,79.99,90.37,1.79
S1158,Ali,Williams,76.32,89.25,4.47
S1159,Maria,Smith,75.81,56.49,0.41
S1160,Omar,Smith,93.66,69.86,4.78
S1161,Ali,Williams,60.28,99.24,9.29
S1162,Liam,Williams,52.04,99.44,0.12
S1163,Maria,Smith,83.61,,3.65
S1164,Sara,Williams,,85.46,7.61
S1165,Ali,Johnson,50.88,97.56,1.54
S1166,Liam,Brown,62.57,72.5,0.78
S1167,Omar,Brown,65.47,56.84,6.31
S1168,Omar,Brown,80.84,83.45,0.1
S1169,Emma,Johnson,58.63,98.01,8.02
S1170,Liam,Williams,70.65,84.86,0.67
S1171,Ahmed,Jones,74.12,90.17,5.24
S1172,John,Williams,72.96,,7.4
S1173,Maria,Smith,98.7,54.82,2.42
S1174,Liam,Davis,,58.44,1.04
S1175,Emma,Brown,97.55,99.13,1.76
S1176,John,Williams,79.1,74.66,8.55
S1177,John,Jones,89.79,50.6,7.06
S1178,Ali,Smith,71.52,97.77,1.98
S1179,John,Johnson,72.69,74.89,7.16
S1180,Ahmed,Johnson,93.97,91.81,7.09
S1181,Omar,Jones,94.8,77.42,9.98
S1182,Emma,Smith,61.93,55.09,3.92
S1183,John,Brown,59.96,80.78,8.65
S1184,Ali,Williams,74.81,,4.46
S1185,Ahmed,Smith,95.01,51.74,8.98
S1186,Sara,Johnson,66.12,92.09,0.92
S1187,Omar,Jones,82.6,61.77,1.75
S1188,Omar,Jones,85.41,69.69,8.5
S1189,Emma,Williams,88.93,68.64,8.19
S1190,Omar,Jones,78.2,,3.05
S1191,John,Jones,70.12,75.22,5.97
S1192,Ali,Smith,98.35,72.36,3.83
S1193,Omar,Brown,80.57,,0.1
S1194,Omar,Williams,86.43,52.45,0.26
S1195,Sara,Smith,67.25,54.32,0.54
S1196,Sara,Brown,83.5,51.08,5.94
S1197,Maria,Smith,62.89,84.4,2.79
S1198,Ahmed,Davis,62.25,76.28,1.44
S1199,John,Smith,85.74,93.8,9.41
S1200,Omar,Jones,76.07,74.93,1.21
S1201,Liam,Brown,84.16,61.09,6.74
S1202,Omar,Williams,63.47,90.26,8.94
S1203,Ali,Williams,79.94,64.72,1.64
S1204,Maria,Brown,72.2,96.78,2.15
S1205,Ahmed,Jones,79.85,62.52,5.74
S1206,Liam,Johnson,64.54,58.39,5.08
S1207,Maria,Smith,85.77,74.67,5.21
S1208,Emma,Jones,90.3,52.53,5.55
S1209,Ahmed,Davis,63,51.82,9.5
S1210,Omar,Brown,65.03,74.8,0.54
S1211,Omar,Smith,83.06,60.76,7.6
S1212,Ahmed,Williams,,50.47,2.33
S1213,Omar,Johnson,85.2,64.8,3.74
S1214,John,Davis,84.13,73.87,0.89
S1215,Ahmed,Williams,69.64,69.71,4.46
S1216,Maria,Brown,69.74,56.77,8.04
S1217,Ahmed,Smith,62.74,78.98,0.99
S1218,Liam,Brown,57.84,,2.76
S1219,Omar,Smith,,83.78,3.73
S1220,John,Jones,54.66,69.69,1.04
S1221,John,Johnson,96.89,56.88,7.62
S1222,Emma,Jones,91.33,74.97,7.87
S1223,Maria,Jones,92.88,94.52,8.36
S1224,Sara,Brown,95.33,73.44,5.84
S1225,Sara,Johnson,70.43,59.78,5.07
S1226,Ahmed,Smith,92.34,54.65,2.63
S1227,Emma,Smith,,97.2,6.55
S1228,Ali,Davis,51.08,87.15,4.45
S1229,Ahmed,Williams,89.24,,9.71
S1230,Emma,Davis,53.74,64.77,9.68
S1231,Maria,Davis,99.43,94.76,9.05
S1232,Maria,Smith,83.74,58.88,3.6
S1233,Maria,Brown,87.67,76.75,3.68
S1234,Maria,Jones,62.29,85.68,8.53
S1235,Maria,Jones,83.69,69.82,7.29
S1236,Emma,Jones,52.16,52,7.04
S1237,Emma,Johnson,91.89,61.39,2.8
S1238,John,Smith,,95.09,8.33
S1239,Liam,Brown,84.87,,5.79
S1240,Sara,Johnson,61.22,90.77,4.47
S1241,Omar,Williams,53.42,77.78,8.65
S1242,Maria,Brown,74.07,97.18,3.94
S1243,Ali,Davis,58.46,,6.54
S1244,Omar,Brown,86.47,,4.66
S1245,Emma,Brown,61.88,65.91,5.93
S1246,Ali,Jones,67.12,80.08,0.41
S1247,Ali,Brown,78.37,83.74,4.61
S1248,Ali,Davis,64.25,,5.56
S1249,John,Davis,,91.11,4.93
S1250,Emma,Smith,90.78,59.17,8.47
S1251,Ali,Brown,58.96,,3.11
S1252,Maria,Jones,54.11,84.32,8.84
S1253,Ahmed,Brown,66.42,,4.03
S1254,Ali,Williams,71.22,71.99,6.95
S1255,John,Williams,77.13,98.19,0.87
S1256,Omar,Jones,68.62,81.29,2
S1257,Emma,Smith,89.5,97.45,7.61
S1258,Liam,Smith,51.97,86.12,0.12
S1259,John,Davis,71.59,86.23,9.69
S1260,Ali,Davis,69.11,79.59,1.91
S1261,Emma,Johnson,82.38,57.11,9.01
S1262,Ahmed,Jones,98.31,,5.16
S1263,Ali,Brown,75.52,62.63,5.65
S1264,John,Jones,99.34,99.93,0.84
S1265,Sara,Johnson,65.11,63.35,3.65
S1266,Maria,Davis,51.54,61.53,1.56
S1267,Liam,Jones,58.28,81.19,5.26
S1268,Omar,Jones,69.76,75.55,5.51
S1269,John,Davis,,51.07,7.1
S1270,Emma,Johnson,,56.48,8.78
S1271,Liam,Davis,71.63,90.55,4.68
S1272,Liam,Smith,66.91,74.18,2.33
S1273,Liam,Brown,,57.3,3.34
S1274,Ali,Davis,64.81,73.26,8.47
S1275,Maria,Johnson,94.32,62.66,1.46
S1276,Ali,Williams,,61.18,6.27
S1277,Emma,Smith,85.7,97.89,0.13
S1278,Ali,Williams,80.6,68.1,2.46
S1279,Sara,Davis,71.36,52.32,5.91
S1280,Maria,Smith,61.95,98.52,4.56
S1281,Maria,Brown,68.45,89.74,4.94
S1282,Emma,Davis,79.61,62.72,6.61
S1283,Omar,Brown,,70.44,2.35
S1284,Sara,Jones,60.74,93.11,2.81
S1285,John,Williams,55.82,67.87,6.84
S1286,Ali,Smith,,78.37,5.38
S1287,Ahmed,Brown,72.02,76.74,0.15
S1288,Ali,Johnson,81.26,70.06,6.7
S1289,Liam,Brown,74.52,81.98,6.2
S1290,Ali,Johnson,93.63,73.66,0.79
S1291,John,Davis,77.35,51.06,7.48
S1292,Ali,Smith,74.04,90.72,5.22
S1293,Sara,Brown,96.23,55.66,2.05
S1294,Sara,Brown,,73.2,5.59
S1295,Maria,Smith,55.58,79,5.95
S1296,Emma,Brown,58.89,85.28,9.2
S1297,Omar,Johnson,89.36,70.54,7.42
S1298,Ahmed,Brown,91.79,86.78,3.02
S1299,Liam,Williams,77.26,56.57,1.18
S1300,Ali,Davis,77.72,82.67,8.53
S1301,Ali,Jones,81.6,91.32,8.46
S1302,John,Johnson,71.96,94.47,1.75
S1303,Emma,Williams,84.01,,0.62
S1304,Sara,Davis,55.42,65.64,7.12
S1305,Ahmed,Smith,98.06,58.17,7.23
S1306,Maria,Johnson,87.51,67.28,1.77
S1307,Sara,Jones,81.56,77,6.68
S1308,Liam,Davis,65.82,59.82,2.79
S1309,Emma,Jones,58.05,97.63,2.61
S1310,Liam,Smith,70.47,94.86,3.25
S1311,Omar,Smith,83.08,51.65,5.2
S1312,Maria,Johnson,,78.1,8.04
S1313,Omar,Brown,69.13,89.47,4.99
S1314,John,Smith,80.66,62.27,2.98
S1315,Liam,Davis,90.69,76.19,8.84
S1316,John,Brown,51.31,70.3,0.55
S1317,Ali,Williams,72.53,59.83,7.97
S1318,Omar,Jones,,80.74,7.84
S1319,Emma,Brown,77.31,99.68,2.54
S1320,Liam,Jones,82.57,68.26,1.98
S1321,Ahmed,Brown,75.83,77.62,8.75
S1322,Maria,Williams,99.59,66.39,5.59
S1323,Sara,Smith,52.73,93.85,0.46
S1324,Emma,Williams,74.55,,8.91
S1325,Emma,Smith,54.57,58.94,3.49
S1326,John,Smith,57.99,95,3.42
S1327,Omar,Jones,69.15,57.58,6.43
S1328,Liam,Davis,57.78,54.77,6.61
S1329,Liam,Williams,98.18,82.65,3.53
S1330,Ali,Brown,97.34,69.3,1.43
S1331,Ali,Williams,66.81,76.54,5.52
S1332,Maria,Jones,81.99,82.63,6.25
S1333,John,Smith,76.69,52.64,8.6
S1334,Emma,Jones,90.78,64.65,4.84
S1335,Liam,Johnson,81.37,73.05,6.46
S1336,Ahmed,Johnson,50.01,63.33,0.54
S1337,John,Brown,88.16,52.45,8.95
S1338,Maria,Jones,87.34,54.33,3.27
S1339,Maria,Brown,75.49,90.09,6.32
S1340,John,Brown,95.15,95.57,9.16
S1341,Maria,Johnson,95.42,57.61,8.11
S1342,John,Brown,76.2,,6.38
S1343,Sara,Johnson,80.4,82.61,7.04
S1344,John,Smith,99.83,97.71,9.21
S1345,Omar,Jones,64.94,64.98,8.12
S1346,John,Brown,66.23,92.76,6.1
S1347,Maria,Johnson,59.14,75.3,6.59
S1348,Liam,Williams,94.79,97.83,1.47
S1349,Omar,Brown,87.22,56.81,4.7
S1350,Maria,Davis,55.28,,3.01
S1351,Ali,Smith,99.09,72.05,4.32
S1352,Ali,Smith,86.55,97.65,6.62
S1353,Liam,Williams,92.53,72.93,1.49
S1354,Liam,Johnson,,76.5,0.17
S1355,Omar,Brown,75.25,90.24,3.97
S1356,Sara,Johnson,84.93,86.13,3.22
S1357,Liam,Smith,77.15,80.98,4.2
S1358,Ali,Johnson,83.33,70.85,9.31
S1359,John,Smith,,89.62,7.07
S1360,Maria,Johnson,68.72,97.41,3.27
S1361,Ali,Williams,92.43,50.49,1.79
S1362,Ali,Jones,58.15,79.39,6.18
S1363,Sara,Williams,63.54,93.3,6.58
S1364,Omar,Williams,52.17,82.66,4.84
S1365,Omar,Jones,68.22,90.04,2.13
S1366,Emma,Jones,69,94.75,0.29
S1367,Sara,Brown,90.26,87.55,2.66
S1368,John,Brown,82.66,,4.57
S1369,Omar,Williams,71.84,98.24,7.88
S1370,Maria,Williams,82.61,93.18,8.54
S1371,Liam,Smith,52.64,90.77,4.13
S1372,Sara,Smith,59.01,54.32,7.96
S1373,Liam,Brown,81.35,,9.93
S1374,Ali,Davis,82.07,77.84,7.17
S1375,Maria,Davis,88.71,85.48,7.29
S1376,Maria,Brown,70.15,65.16,9.1
S1377,Ali,Smith,86.13,54.67,3.38
S1378,Sara,Smith,,65.55,0.11
S1379,Ali,Davis,,,9.87
S1380,Liam,Johnson,60.76,93.87,4.9
S1381,Emma,Johnson,77.58,95.65,7.86
S1382,Maria,Smith,80.09,68.94,8.12
S1383,Ahmed,Johnson,99.93,68.63,3.98
S1384,Ahmed,Jones,60.06,70.34,5.41
S1385,Liam,Brown,76.16,68.79,5.4
S1386,John,Brown,67.31,83.31,2.2
S1387,Omar,Smith,76.29,67.92,1.18
S1388,Ali,Williams,61.61,51.02,5.44
S1389,Ali,Davis,52.38,71.95,1.2
S1390,John,Smith,78.63,61.21,3.46
S1391,John,Johnson,66.79,51.44,1.86
S1392,Liam,Davis,59.1,73.54,7.07
S1393,Liam,Williams,66.2,60.3,8.72
S1394,John,Johnson,52.46,72.64,5.78
S1395,Maria,Jones,97.52,63.89,4.1
S1396,Liam,Johnson,79.06,80.19,9.97
S1397,Emma,Jones,90.74,99.54,0.21
S1398,Liam,Davis,71.16,77.36,3.04
S1399,Ali,Jones,95.17,82.34,2.79
S1400,Liam,Davis,74.17,95.96,3.56
S1401,Maria,Davis,78.7,68.7,2.31
S1402,John,Davis,74.59,,2.64
S1403,Ali,Davis,86.66,64.14,2.58
S1404,Liam,Davis,78.33,70.14,5.06
S1405,Maria,Johnson,63.58,82.25,3.91
S1406,Emma,Davis,57.28,50.23,6.39
S1407,Liam,Johnson,80.31,92.67,5.14
S1408,Maria,Davis,74.46,53.8,1.83
S1409,Emma,Jones,54.8,95.03,8.1
S1410,John,Davis,69.78,97.47,4.72
S1411,Liam,Williams,75.74,99.51,1.53
S1412,Emma,Davis,91.34,,1.67
S1413,Ali,Davis,53.81,57.09,7.97
S1414,John,Jones,67.42,85.31,7.03
S1415,Ali,Brown,91.13,60.17,5.07
S1416,Ahmed,Jones,82.42,94.86,3.06
S1417,Sara,Williams,64.5,65.83,4.61
S1418,Liam,Brown,92.27,66.34,6.36
S1419,Emma,Smith,74.66,95.88,8.79
S1420,Sara,Smith,74.92,50.66,5.56
S1421,Sara,Williams,98.83,59.7,2.77
S1422,Emma,Jones,97.36,,0.43
S1423,John,Johnson,67.93,85.04,1.75
S1424,Liam,Williams,57.03,82.38,6.5
S1425,Ahmed,Brown,66.28,83.47,1.6
S1426,Ali,Brown,51.52,94,4.82
S1427,Maria,Davis,51.04,56.05,6.99
S1428,Ali,Smith,69.78,76.11,3.08
S1429,Maria,Brown,,86.27,6.69
S1430,Ali,Williams,93.57,81.81,5.81
S1431,Emma,Brown,75.57,72.42,4.39
S1432,Ahmed,Williams,78.26,50.86,8.97
S1433,Liam,Johnson,50.3,53.02,6.92
S1434,Maria,Davis,60.78,55.95,3.61
S1435,Liam,Smith,,67.16,8.04
S1436,Liam,Brown,87.73,55.88,7.38
S1437,Liam,Williams,57.28,71.3,7.92
S1438,Omar,Jones,,58.93,6.41
S1439,John,Smith,82.17,88.96,3.79
S1440,Ali,Johnson,61.47,93.57,3.49
S1441,Liam,Williams,,69.48,6.54
S1442,Ali,Davis,81.38,75.57,1.31
S1443,Liam,Davis,95.04,97.67,8.2
S1444,Maria,Johnson,85.92,76.78,3.7
S1445,John,Johnson,,,6.3
S1446,John,Davis,79.37,57.11,4.99
S1447,Emma,Brown,65.54,93.11,5.19
S1448,Omar,Brown,99.96,74.86,7.38
S1449,Emma,Williams,87.44,51.14,6.27
S1450,Emma,Jones,80.72,98.61,2.5
S1451,Emma,Williams,71.16,98.25,0.74
S1452,Emma,Jones,80.91,69.16,8.4
S1453,Emma,Johnson,67.08,97.71,8.85
S1454,Ahmed,Smith,51.44,57.05,1.64
S1455,John,Williams,69.75,84.01,3.09
S1456,Emma,Williams,96.52,59.6,2.82
S1457,Liam,Jones,81.32,62.33,9.37
S1458,John,Johnson,54.2,88.97,2.05
S1459,John,Johnson,,68.87,1.67
S1460,Sara,Jones,63.44,50.36,1.82
S1461,Ahmed,Johnson,62.19,70.71,7.3
S1462,Emma,Davis,64.85,61.4,8.88
S1463,Ali,Brown,78.86,84.17,3.93
S1464,Maria,Davis,77.23,59.72,1.36
S1465,Omar,Smith,74.57,92.11,5.86
S1466,Liam,Williams,85.88,63.35,2.1
S1467,Ali,Smith,65.83,69.65,0.64
S1468,Ahmed,Williams,89.1,64.9,8.86
S1469,Maria,Brown,,82.2,8.71
S1470,Ahmed,Johnson,89.13,55.06,9.76
S1471,Liam,Davis,83.19,73.9,4.74
S1472,John,Jones,84.16,,2.94
S1473,Maria,Davis,74.08,,7.7
S1474,John,Brown,83.35,53.67,1.8
S1475,Liam,Smith,53.99,,2.43
S1476,Ali,Jones,92.58,58.38,2.56
S1477,Liam,Johnson,52.78,54.43,9.52
S1478,Ali,Brown,57.44,60.12,7.3
S1479,Maria,Jones,78.84,55.13,1.34
S1480,Maria,Brown,86.97,76.05,0.93
S1481,Emma,Brown,53.81,99.41,8.43
S1482,Ahmed,Johnson,,51.72,8.02
S1483,Emma,Williams,,73.06,6.71
S1484,Ahmed,Jones,80.3,69.3,1.96
S1485,Emma,Johnson,74.06,66.98,4.8
S1486,John,Brown,87.07,66.59,6.03
S1487,Maria,Johnson,66.42,94.75,9.32
S1488,Ali,Williams,,,1.69
S1489,Ahmed,Davis,95.81,88.75,5.15
S1490,Liam,Jones,97.78,62.65,1.58
S1491,Ahmed,Williams,96.35,69.16,4.44
S1492,Ali,Smith,63.12,71.01,2
S1493,Emma,Jones,61.62,65.24,8.36
S1494,Ahmed,Williams,64.88,54.68,2.55
S1495,Omar,Brown,72.07,55.72,4.17
S1496,John,Jones,65.71,64.91,4.08
S1497,Maria,Jones,68.71,91.09,8.66
S1498,Ali,Johnson,81.03,56.73,7.58
S1499,Maria,Brown,88.13,,0.58
S1500,Omar,Smith,86.78,64.44,0.67
S1501,Ahmed,Davis,90.72,94.17,5.51
S1502,Ahmed,Williams,51.61,71.42,4.28
S1503,Liam,Johnson,52.39,58.59,2.76
S1504,Omar,Williams,89.47,99.29,7.93
S1505,Ali,Smith,76.65,58.83,1.29
S1506,Liam,Smith,78.91,78.38,9.74
S1507,John,Jones,52.63,78.46,0.24
S1508,Liam,Smith,62.77,68.64,1.18
S1509,Sara,Williams,81.92,97.57,3.11
S1510,Ali,Brown,92.96,92.19,5.09
S1511,Sara,Brown,95.85,91.49,2.16
S1512,Omar,Jones,75.02,,7.36
S1513,Emma,Davis,77.27,72.86,3.58
S1514,Sara,Williams,91.65,54.86,0.39
S1515,John,Williams,76.88,88.27,8.78
S1516,Liam,Smith,75.84,69.04,9.44
S1517,Emma,Williams,95.25,59.52,6.19
S1518,Liam,Johnson,,74.16,8.07
S1519,Sara,Davis,95.45,96.29,1.21
S1520,Liam,Smith,60.91,58.57,2.69
S1521,Omar,Johnson,76.22,92.43,3.25
S1522,Emma,Jones,92.12,70.91,9.61
S1523,Omar,Brown,55.56,,5.12
S1524,Sara,Jones,89.73,92.42,0.07
S1525,Omar,Brown,59.15,98.48,3.8
S1526,John,Jones,,64.56,0.08
S1527,Sara,Williams,80.6,65.18,2.38
S1528,Sara,Johnson,59.66,69.53,4.55
S1529,Sara,Brown,73.67,90.71,3.23
S1530,Ali,Smith,84.1,50.52,0.33
S1531,Liam,Johnson,,61.2,1.16
S1532,Ali,Smith,71.36,85.29,5.51
S1533,Ali,Johnson,94.97,70.28,6.96
S1534,John,Johnson,75.96,66.51,4.05
S1535,Emma,Jones,75.29,93.61,7.31
S1536,Liam,Brown,53.11,95.87,1.63
S1537,Omar,Brown,96.11,97.4,1.22
S1538,Ahmed,Johnson,58.86,63.63,8.39
S1539,Sara,Williams,76.42,95.63,3.39
S1540,Omar,Williams,90.18,86.85,4.32
S1541,Sara,Smith,60.77,57.71,9.48
S1542,John,Smith,,80.51,4.24
S1543,Sara,Jones,62.03,51.32,0.03
S1544,Ali,Johnson,87.98,85.42,9.38
S1545,Liam,Smith,78.22,86.68,0.14
S1546,Ahmed,Smith,,89.47,6.62
S1547,Maria,Davis,94.73,58.63,3.23
S1548,Sara,Johnson,82.44,,4.7
S1549,Omar,Jones,86.27,58.94,5.47
S1550,Ali,Smith,77.46,97.33,4.08
S1551,Maria,Jones,69.22,83.75,7.74
S1552,Ahmed,Brown,82.41,54.77,9.31
S1553,Maria,Jones,95.41,,0.86
S1554,Ali,Williams,70.83,,8
S1555,Liam,Williams,65.72,73.83,1.29
S1556,Liam,Jones,,,0.8
S1557,Emma,Williams,71.77,64.04,9.56
S1558,Liam,Brown,53.68,82.9,4.89
S1559,Emma,Johnson,74.92,58.85,1.53
S1560,Maria,Williams,74.72,77.19,5.7
S1561,John,Williams,79.42,97.89,2.63
S1562,Omar,Jones,68.14,81.41,4.64
S1563,Omar,Brown,80.66,52.5,6.25
S1564,Maria,Johnson,93.91,99.44,8.69
S1565,Sara,Jones,97.77,57.84,0.03
S1566,Sara,Jones,79.18,85.9,2.14
S1567,Liam,Davis,,76.63,0.96
S1568,Omar,Brown,98.46,64.72,0.97
S1569,Omar,Johnson,85.29,58.87,9.46
S1570,Emma,Brown,,58.89,9.36
S1571,John,Johnson,57.36,92.92,7.49
S1572,Ali,Brown,57.17,93.65,6.43
S1573,Sara,Jones,58.39,73.26,8.48
S1574,Omar,Jones,52.28,55.18,0.58
S1575,Emma,Smith,,94.21,1.19
S1576,Ahmed,Williams,77.04,,3.17
S1577,Emma,Davis,85,71.94,8.32
S1578,Sara,Brown,91.41,70.37,4.72
S1579,Sara,Davis,89.58,68.25,5.04
S1580,Emma,Smith,94.13,76.3,2.29
S1581,Ali,Williams,98.36,80.23,6.48
S1582,Maria,Brown,71.95,73.32,8.88
S1583,Sara,Johnson,97.52,,3.3
S1584,Emma,Williams,86.16,65.88,6.19
S1585,Omar,Jones,53.53,,3.32
S1586,Emma,Smith,84.09,65,7.93
S1587,John,Williams,,87.67,4.75
S1588,Maria,Williams,95.29,,3.39
S1589,Ahmed,Jones,68.65,59.43,4.2
S1590,Ali,Brown,79.25,90.06,0.91
